,branch,address
0,總公司,"台北市大安區仁愛路四段296號5,7,11樓 "
1,中山通訊處,台北市大安區信義路三段153號5樓 
2,松山通訊處,台北市松山區南京東路四段126號13樓A1室 
3,台北分公司,台北市大安區信義路三段153號5樓 
4,北投分公司,台北市北投區中央北路二段335之2號6樓A.B室 
5,忠孝通訊處,台北市大安區仁愛路四段85號14樓B室 
6,花蓮通訊處,花蓮縣花蓮市國聯一路41號4樓A室 
7,羅東通訊處,宜蘭縣羅東鎮公正路157號3樓A室 
8,中和分公司,新北市中和區板南路663號15樓 
9,三重通訊處,新北市三重區重新路四段89號2樓 
10,板橋通訊處,新北市板橋區三民路一段216號10樓D室 
11,基隆通訊處,基隆市信義區信一路148號4樓 
12,新店通訊處,新北市新店區中正路190號10樓 
13,中崙通訊處,台北市松山區南京東路四段126號13樓A1室 
14,城中通訊處,台北市大同區延平北路2段202號18樓之1 
15,苗栗分公司,苗栗縣苗栗市中正路496號2樓A室 
16,新竹通訊處,新竹市四維路130號八樓之一、之二、之三、之四 
17,中壢通訊處,桃園市中壢區民族路35號9樓 
18,桃園分公司,桃園市桃園區中山路845號13樓D室 
19,竹北通訊處,新竹縣竹北市三民路133號4樓B室 
20,八德通訊處,桃園市桃園區中山路845號5樓A室 
21,盛壢通訊處,桃園市中壢區民族路35號9樓 
22,南崁通訊處,桃園市蘆竹區南崁路1段83號6樓之8、6樓之9 
23,大里通訊處,台中市大里區國光路2段259號之1號3樓之2 
24,中南通訊處,台中市西區中華路一段35號7樓A1室 
25,台中分公司,台中市北屯區崇德路2段128號2樓B室 
26,嘉義通訊處,嘉義市民族路246號7樓A室 
27,溪湖通訊處,彰化縣溪湖鎮東環路555號2樓B室 
28,北港分公司,雲林縣北港鎮義民路80號6樓A室 
29,斗南通訊處,雲林縣斗南鎮延平路二段368號10樓A室 
30,草屯分公司,南投縣草屯鎮中正路613號之一2樓A室 
31,員林通訊處,彰化縣員林市員東路二段498號5樓之507室 
32,彰化通訊處,彰化縣彰化市中山路二段838號3樓A區 
33,清水通訊處,台中市清水區中華路151之2號 
34,豐原通訊處,台中市豐原區圓環北路一段60號10樓A室 
35,大甲通訊處,台中市大甲區文武路2號8樓A室 
36,中新通訊處,台中市西區台灣大道2段573號6樓G室 
37,彰興通訊處,彰化縣彰化市中山路二段838號3樓A區 
38,中華通訊處,高雄市前金區中華三路146、148號11樓A2室 
39,中正分公司,高雄市新興區中正三路2號18樓A室 
40,高雄分公司,高雄市前金區中華三路146、148號14樓B2室 
41,新興通訊處,高雄市苓雅區四維三路6號6樓A4室 
42,台東通訊處,台東縣台東市四維路二段630號1樓C室 
43,新化分公司,台南市新化區中正路506號5樓A室 
44,東港分公司,屏東縣東港鎮中山路7號1樓A室 
45,屏東通訊處,屏東縣屏東市濟南街10號4樓A2室 
46,鳳山通訊處,高雄市鳳山區光復路65號5樓A1室 
47,岡山通訊處,高雄市岡山區中山北路28號8樓C室 
48,臺南通訊處,台南市中西區西門路一段496號12樓A2室 
49,新營通訊處,台南市新營區中正路7號8樓A室 
50,永康通訊處,台南市永康區中華路1之3號4樓 
51,左營通訊處,高雄市左營區自由四路338號4樓 
