統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat_lon,配發公司,配發公司地址,lat,lon,推薦保險_1,推薦保險_2,公共安全責任保險,火災保險,接近險勿設施(加油站),recommand
70707675,盛貿開發工程有限公司,基隆市中正區正濱路14號1樓,5000000,2000-02-17,2012-12-17,核准設立,,配管工程業,1.162,1,"(25.152154, 121.770241)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.152154,121.770241,公共安全責任保險,None,True,False,False,公共安全責任保險
18298355,日祥科技工程行,基隆市中正區中船路54號1樓,4100000,2001-02-02,2014-10-01,核准設立 - 獨資 (核准文號: 1030002163),,配管工程業,0.863,2,"(25.137204, 121.750587)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.137204,121.750587,公共安全責任保險,None,True,False,False,公共安全責任保險
14265733,達強工程行,基隆市信義區教忠街40巷3號1樓,200000,2002-01-25,2015-10-29,核准設立 - 獨資 (核准文號: 1040002388),,配管工程業,-0.433,3,"(25.134181, 121.777357)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.134181,121.777357,公共安全責任保險,None,True,False,False,公共安全責任保險
80872800,承億工程行,基隆市中正區新豐里新豐街329巷42號,200000,2003-05-19,2018-06-11,核准設立 - 獨資 (核准文號: 1070001199),,配管工程業,-0.433,4,"(25.134223, 121.785421)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.134223,121.785421,公共安全責任保險,None,True,False,False,公共安全責任保險
80464760,基嘉水電工程有限公司,基隆市仁愛區和明里仁一路二九三巷三之十六號四樓,6000000,2003-08-18,,核准設立,廖雅玲,配管工程業,1.494,5,"(25.128526, 121.74649)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128526,121.74649,公共安全責任保險,None,True,False,False,公共安全責任保險
24223023,淞宏工程有限公司,基隆市信義區孝忠里深美街９５號１樓,1000000,2008-08-22,2016-05-20,核准設立,,配管工程業,-0.16699999999999998,6,"(25.135668, 121.779944)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.135668,121.779944,公共安全責任保險,None,True,False,False,公共安全責任保險
10394290,權威工程行,基隆市信義區東信路310巷37號,100000,2008-12-31,2019-11-13,核准設立 - 獨資 (核准文號: 1080002439),,配管工程業,-0.466,7,"(25.12941, 121.760617)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.12941,121.760617,公共安全責任保險,火災保險,True,False,True,公共安全責任保險
24359506,啟皓工程有限公司,基隆市仁愛區愛三路49巷28號2樓,10000000,2009-02-24,2016-04-29,核准設立,,配管工程業,2.823,8,"(25.128238, 121.741943)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128238,121.741943,公共安全責任保險,None,True,False,False,公共安全責任保險
25178545,隆圻工程有限公司,基隆市信義區培德路201號1樓,1000000,2010-03-11,2012-07-04,核准設立,,配管工程業,-0.16699999999999998,9,"(25.129131, 121.773326)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.129131,121.773326,公共安全責任保險,None,True,False,False,公共安全責任保險
25198520,宏全機械工程有限公司,基隆市信義區中興路12號,2000000,2010-04-19,2019-12-13,核准設立,,配管工程業,0.165,10,"(25.128749, 121.754483)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128749,121.754483,公共安全責任保險,None,True,False,False,公共安全責任保險
53360587,鼎群機械有限公司,基隆市中正區砂灣里正榮街112巷26號3樓,1000000,2011-03-02,2013-07-11,核准設立,,配管工程業,-0.16699999999999998,11,"(25.143231, 121.764391)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.143231,121.764391,公共安全責任保險,火災保險,True,False,True,公共安全責任保險
26560344,彥禧工程行,基隆市信義區正信路227巷23弄11號6樓,200000,2011-04-18,2019-07-10,核准設立 - 獨資 (核准文號: 1080001523),,配管工程業,-0.433,12,"(25.134731, 121.764405)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.134731,121.764405,公共安全責任保險,None,True,False,False,公共安全責任保險
53961168,技東科技企業有限公司,基隆市中正區入船里中正路154號1樓,15000000,2012-07-19,2019-05-16,核准設立,,配管工程業,4.484,13,"(25.138443, 121.75095)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.138443,121.75095,公共安全責任保險,None,True,False,False,公共安全責任保險
31519401,龍暟水電工程行,基隆市中正區中正路640巷19之3號4樓,100000,2012-10-08,2012-10-08,核准設立 - 獨資,,配管工程業,-0.466,14,"(25.150458, 121.767007)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.150458,121.767007,公共安全責任保險,火災保險,True,False,True,公共安全責任保險
37754944,吉翔工程行,基隆市中正區中正路640巷35號1樓,200000,2012-10-26,2012-10-26,核准設立 - 獨資,,配管工程業,-0.433,15,"(25.149908, 121.767099)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.149908,121.767099,公共安全責任保險,火災保險,True,False,True,公共安全責任保險
37758792,泉勝水電工程行,基隆市中正區中正路464號,200000,2013-06-05,2013-06-05,核准設立 - 獨資,,配管工程業,-0.433,16,"(25.148202, 121.761923)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.148202,121.761923,公共安全責任保險,None,True,False,False,公共安全責任保險
54507286,祥裕工程顧問有限公司,基隆市信義區義幸里信二路174巷91號2樓,2000000,2013-07-17,,核准設立,林楷峰,配管工程業,0.165,17,"(25.130293, 121.753722)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.130293,121.753722,公共安全責任保險,None,True,False,False,公共安全責任保險
41002241,昕躍水電工程行,基隆市中正區中正路119巷20號2樓,200000,2014-12-04,2014-12-04,核准設立 - 獨資 (核准文號: 1030002825),,配管工程業,-0.433,18,"(25.141831, 121.759546)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.141831,121.759546,公共安全責任保險,None,True,False,False,公共安全責任保險
41357171,勝崴工程行,基隆市信義區正信路151巷5之2號2樓,200000,2015-08-17,2019-02-20,核准設立 - 獨資 (核准文號: 1080000332),,配管工程業,-0.433,19,"(25.1304, 121.757968)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.1304,121.757968,公共安全責任保險,None,True,False,False,公共安全責任保險
41359115,育誠水電工程行,基隆市信義區仁一路37巷3號1樓,200000,2015-11-02,2018-03-02,核准設立 - 獨資 (核准文號: 1070000386),,配管工程業,-0.433,20,"(25.127521, 121.755041)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.127521,121.755041,公共安全責任保險,None,True,False,False,公共安全責任保險
42158988,瀚祥企業社,基隆市中正區新豐街303巷19弄2號2樓,200000,2016-02-26,2016-02-26,核准設立 - 獨資 (核准文號: 1050000341),,配管工程業,-0.433,21,"(25.133253, 121.78845)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133253,121.78845,公共安全責任保險,None,True,False,False,公共安全責任保險
42161386,和盛工程行,基隆市信義區中興路11巷1號3樓,100000,2016-06-13,2017-03-01,核准設立 - 獨資 (核准文號: 1060000361),,配管工程業,-0.466,22,"(25.128754, 121.754179)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.128754,121.754179,公共安全責任保險,None,True,False,False,公共安全責任保險
55929636,廣宸實業有限公司,基隆市中正區中船路7巷42號,1000000,2016-11-18,2018-12-13,核准設立,,配管工程業,-0.16699999999999998,23,"(25.137646, 121.750814)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.137646,121.750814,公共安全責任保險,None,True,False,False,公共安全責任保險
50584958,和亞不銹鋼工程行,基隆市中正區中正路283號,240000,2016-12-27,2016-12-27,核准設立 - 獨資 (核准文號: 1050002734),,配管工程業,-0.42,24,"(25.145329, 121.761253)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.145329,121.761253,公共安全責任保險,None,True,False,False,公共安全責任保險
56609560,玉樹工程有限公司,基隆市信義區教忠街141巷53號,1000000,2017-04-17,,核准設立,劉瑞基,配管工程業,-0.16699999999999998,25,"(25.140084, 121.778084)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.140084,121.778084,公共安全責任保險,None,True,False,False,公共安全責任保險
56699204,巨森科技有限公司,基隆市信義區孝忠里深溪路36巷98號,10000,2017-07-17,,核准設立,石瑞羣,配管工程業,-0.496,26,"(25.133073, 121.783812)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.133073,121.783812,公共安全責任保險,None,True,False,False,公共安全責任保險
72637938,隆合工程行,基隆市中正區新豐街303巷17弄7號3樓,240000,2017-08-22,2017-08-22,核准設立 - 獨資 (核准文號: 1060001765),,配管工程業,-0.42,27,"(25.13341, 121.788631)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.13341,121.788631,公共安全責任保險,None,True,False,False,公共安全責任保險
72638731,弘大工程行,基隆市信義區東信路35巷157之4號,200000,2017-09-20,2018-02-27,核准設立 - 獨資 (核准文號: 1070000366),,配管工程業,-0.433,28,"(25.125972, 121.766976)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.125972,121.766976,公共安全責任保險,None,True,False,False,公共安全責任保險
72641659,連榮工程行,基隆市信義區東美二街102號1樓,200000,2018-02-06,2018-02-06,核准設立 - 獨資 (核准文號: 1070000260),,配管工程業,-0.433,29,"(25.136005, 121.77321299999998)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.136005,121.77321299999998,公共安全責任保險,None,True,False,False,公共安全責任保險
72824572,艾品室內裝修企業社,基隆市信義區正信路141號1樓,200000,2018-06-26,2018-06-26,核准設立 - 獨資 (核准文號: 1070001298),,配管工程業,-0.433,30,"(25.130817, 121.760609)",基隆通訊處,基隆市信義區信一路148號4樓 ,25.130817,121.760609,公共安全責任保險,None,True,False,False,公共安全責任保險
