index,Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站),公共安全責任險,火災保險,推薦保險_1,推薦保險_2,recommand,接近險勿設施(倉庫)
12,12,53961168,技東科技企業有限公司,基隆市中正區入船里中正路154號1樓,15000000,2012-07-19,2019-05-16,核准設立,,配管工程業,4.484,13,25.138443,121.75095,"(25.138443, 121.75095)",11,基隆通訊處,False,True,False,None,公共安全責任險,公共安全責任險，,False
22,22,55929636,廣宸實業有限公司,基隆市中正區中船路7巷42號,1000000,2016-11-18,2018-12-13,核准設立,,配管工程業,-0.16699999999999998,23,25.137646,121.75081399999999,"(25.137646, 121.75081399999999)",11,基隆通訊處,False,True,False,None,公共安全責任險,公共安全責任險，,False
93,93,60390185,德安五金行,基隆市中正區入船里中船路一一二巷一二號一樓,5000000,1991-03-05,2007-09-19,核准設立 - 獨資,,五金零售業,1.53,5,25.138189999999998,121.75168899999998,"(25.138189999999998, 121.75168899999998)",11,基隆通訊處,False,False,False,None,None,None,False
103,105,25059750,祥惟工程有限公司,基隆市中正區正船里中船路98號,1000000,2009-10-29,,核准設立,陳明煌,電器承裝業,-0.257,4,25.137723,121.75131299999998,"(25.137723, 121.75131299999998)",11,基隆通訊處,False,False,True,火災保險,None,火災保險,False
1,1,18298355,日祥科技工程行,基隆市中正區中船路54號1樓,4100000,2001-02-02,2014-10-01,核准設立 - 獨資 (核准文號: 1030002163),,配管工程業,0.863,2,25.137204,121.75058700000001,"(25.137204, 121.75058700000001)",11,基隆通訊處,False,True,False,None,公共安全責任險,公共安全責任險，,False
145,147,59055563,上豪國際機械有限公司,基隆市中正區中船路5巷36號,2000000,2018-01-12,,核准設立,張文川,燃料導管安裝工程業,-0.473,10,25.137798999999998,121.75045700000001,"(25.137798999999998, 121.75045700000001)",11,基隆通訊處,False,True,True,火災保險,公共安全責任險,公共安全責任險，火災保險,False
89,89,765407,和平船舶工程有限公司,基隆市中正區正船里中船路5巷20號2樓,6000000,1976-10-06,2018-10-29,核准設立,,五金零售業,2.029,1,25.137632,121.75016399999998,"(25.137632, 121.75016399999998)",11,基隆通訊處,False,False,False,None,None,None,False
55,55,85218556,天翼企業社,基隆市中正區正義里正義路２９巷１３-１號,200000,2019-09-23,,核准設立 - 獨資 (核准文號: 1080002059),劉哲維,五金批發業,-0.652,19,25.133763000000002,121.747441,"(25.133763000000002, 121.747441)",11,基隆通訊處,False,False,False,None,None,None,False
78,78,12903088,大雅室內裝修有限公司,基隆市中正區中正路12之2號2樓,1000000,2001-09-24,2011-05-10,核准設立,,室內裝潢業,-0.005,4,25.132538,121.74434199999999,"(25.132538, 121.74434199999999)",11,基隆通訊處,True,False,False,火災保險,None,火災保險,False
46,46,10653824,景茂企業行,基隆市信義區仁壽里義五路９號１樓,200000,2008-07-07,2019-02-12,歇業 - 獨資 (核准文號: 1080000270),,五金批發業,-0.652,10,25.129081,121.74909,"(25.129081, 121.74909)",11,基隆通訊處,False,False,False,None,None,None,False
124,126,24215614,泉利米香食品有限公司,基隆市信義區信二路219號1樓,3000000,2008-08-11,2016-06-20,核准設立,,食品什貨批發業,0.8759999999999999,3,25.129742,121.748949,"(25.129742, 121.748949)",11,基隆通訊處,False,False,False,None,None,None,False
38,38,146074,青山有限公司,基隆市信義區義四路14號,5000000,1971-12-01,2017-12-15,核准設立,,五金批發業,2.25,2,25.129777999999998,121.748263,"(25.129777999999998, 121.748263)",11,基隆通訊處,False,False,False,None,None,None,False
45,45,10509096,禾強企業行,基隆市信義區仁壽里信一路一三三號七樓,200000,2007-12-26,2007-12-26,核准設立 - 獨資,,五金批發業,-0.652,9,25.129285,121.74736999999999,"(25.129285, 121.74736999999999)",11,基隆通訊處,False,False,False,None,None,None,False
52,52,50586386,達鋅商行,基隆市信義區義四路7號1樓,200000,2017-03-15,2019-11-26,核准設立 - 獨資 (核准文號: 1080002528),,五金批發業,-0.652,16,25.129281,121.74778899999998,"(25.129281, 121.74778899999998)",11,基隆通訊處,False,False,False,None,None,None,False
59,59,27797249,豐喬國際有限公司,基隆市信義區仁壽里義三路4巷24號1樓,1000000,2005-05-24,2016-05-03,核准設立,,布疋、衣著、鞋、帽、傘、服飾品批發業,-0.415,4,25.12943,121.747602,"(25.12943, 121.747602)",11,基隆通訊處,False,False,True,火災保險,None,火災保險,False
75,75,84395082,華邦工程顧問有限公司,基隆市信義區信一路133之2號4樓,6000000,1993-06-10,2016-09-05,核准設立,,室內裝潢業,3.362,1,25.129351999999997,121.747254,"(25.129351999999997, 121.747254)",11,基隆通訊處,False,False,False,None,None,None,False
4,4,80464760,基嘉水電工程有限公司,基隆市仁愛區和明里仁一路二九三巷三之十六號四樓,6000000,2003-08-18,,核准設立,廖雅玲,配管工程業,1.494,5,25.128526,121.74649,"(25.128526, 121.74649)",11,基隆通訊處,False,True,False,None,公共安全責任險,公共安全責任險，,False
