,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序
0,70707675,盛貿開發工程有限公司,基隆市中正區正濱路14號1樓,5000000,2000-02-17,2012-12-17,核准設立,,配管工程業,1.162,1
1,18298355,日祥科技工程行,基隆市中正區中船路54號1樓,4100000,2001-02-02,2014-10-01,核准設立 - 獨資 (核准文號: 1030002163),,配管工程業,0.863,2
2,14265733,達強工程行,基隆市信義區教忠街40巷3號1樓,200000,2002-01-25,2015-10-29,核准設立 - 獨資 (核准文號: 1040002388),,配管工程業,-0.433,3
3,80872800,承億工程行,基隆市中正區新豐里新豐街329巷42號,200000,2003-05-19,2018-06-11,核准設立 - 獨資 (核准文號: 1070001199),,配管工程業,-0.433,4
4,80464760,基嘉水電工程有限公司,基隆市仁愛區和明里仁一路二九三巷三之十六號四樓,6000000,2003-08-18,,核准設立,廖雅玲,配管工程業,1.494,5
5,24223023,淞宏工程有限公司,基隆市信義區孝忠里深美街９５號１樓,1000000,2008-08-22,2016-05-20,核准設立,,配管工程業,-0.167,6
6,10394290,權威工程行,基隆市信義區東信路310巷37號,100000,2008-12-31,2019-11-13,核准設立 - 獨資 (核准文號: 1080002439),,配管工程業,-0.466,7
7,24359506,啟皓工程有限公司,基隆市仁愛區愛三路49巷28號2樓,10000000,2009-02-24,2016-04-29,核准設立,,配管工程業,2.823,8
8,25178545,隆圻工程有限公司,基隆市信義區培德路201號1樓,1000000,2010-03-11,2012-07-04,核准設立,,配管工程業,-0.167,9
9,25198520,宏全機械工程有限公司,基隆市信義區中興路12號,2000000,2010-04-19,2019-12-13,核准設立,,配管工程業,0.165,10
10,53360587,鼎群機械有限公司,基隆市中正區砂灣里正榮街112巷26號3樓,1000000,2011-03-02,2013-07-11,核准設立,,配管工程業,-0.167,11
11,26560344,彥禧工程行,基隆市信義區正信路227巷23弄11號6樓,200000,2011-04-18,2019-07-10,核准設立 - 獨資 (核准文號: 1080001523),,配管工程業,-0.433,12
12,53961168,技東科技企業有限公司,基隆市中正區入船里中正路154號1樓,15000000,2012-07-19,2019-05-16,核准設立,,配管工程業,4.484,13
13,31519401,龍暟水電工程行,基隆市中正區中正路640巷19之3號4樓,100000,2012-10-08,2012-10-08,核准設立 - 獨資,,配管工程業,-0.466,14
14,37754944,吉翔工程行,基隆市中正區中正路640巷35號1樓,200000,2012-10-26,2012-10-26,核准設立 - 獨資,,配管工程業,-0.433,15
15,37758792,泉勝水電工程行,基隆市中正區中正路464號,200000,2013-06-05,2013-06-05,核准設立 - 獨資,,配管工程業,-0.433,16
16,54507286,祥裕工程顧問有限公司,基隆市信義區義幸里信二路174巷91號2樓,2000000,2013-07-17,,核准設立,林楷峰,配管工程業,0.165,17
17,41002241,昕躍水電工程行,基隆市中正區中正路119巷20號2樓,200000,2014-12-04,2014-12-04,核准設立 - 獨資 (核准文號: 1030002825),,配管工程業,-0.433,18
18,41357171,勝崴工程行,基隆市信義區正信路151巷5之2號2樓,200000,2015-08-17,2019-02-20,核准設立 - 獨資 (核准文號: 1080000332),,配管工程業,-0.433,19
19,41359115,育誠水電工程行,基隆市信義區仁一路37巷3號1樓,200000,2015-11-02,2018-03-02,核准設立 - 獨資 (核准文號: 1070000386),,配管工程業,-0.433,20
