統一編號: ,公司名稱: ,公司地址: ,資本額總額: ,核准設立日期: ,最後核准變更日期: ,公司狀態: ,代表人/創辦人/員工: ,industry0,industry1,,登記種類: ,登記機關名稱: ,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10
22663657,和德昌股份有限公司基隆愛三路分公司,基隆市仁愛區愛三路116號地下層及1，2，3，4樓,0,1988-01-22,2017-06-23,核准設立,龔仁銑,登記種類: ,公司登記,,,,,,,,,,,,,
00433007,臺灣中小企業銀行股份有限公司基隆分公司,基隆市仁愛區博愛里愛三路9號1、2樓,0,1947-06-01,2016-07-29,核准設立,陳賢明,登記種類: ,公司登記,,,,,,,,,,,,,
00862870,天仁茶業股份有限公司基隆分公司,基隆市仁愛區愛三路60號,0,1983-08-29,2015-09-08,核准設立,吳陳文彬,登記種類: ,公司登記,,,,,,,,,,,,,
16848283,寶島光學科技股份有限公司寶島基隆愛三路分公司,基隆市仁愛區愛三路75號1樓,0,1999-07-05,2018-11-15,核准設立,陳利洋,登記種類: ,公司登記,,,,,,,,,,,,,
24644426,尚群電氣有限公司基隆愛三店分公司,基隆市仁愛區仁二路232號1樓,0,2014-10-14,2018-12-04,核准設立,張傳煌,登記種類: ,公司登記,,,,,,,,,,,,,
24812099,爭鮮股份有限公司定食基隆二分公司,基隆市仁愛區仁德里愛三路128號2樓,0,2016-08-09,,核准設立,劉桂照,營業人名稱: ,爭鮮股份有限公司定食基隆二分公司,,公司登記,,,,,,,,,,,
26140456,基隆休閒舞場,基隆市仁愛區仁德里愛三路87號10樓,200000,2010-11-03,2012-04-30,核准設立 - 獨資,,是,設立日期: ,菸酒零售業,,基隆市政府,蔡信貴,登記種類: ,商業登記,營業人名稱: ,基隆休閒舞場,統一編號: ,26140456,營業地址: ,基隆市仁愛區仁德里愛三路８７號１０樓,使用統一發票: 
41358002,基隆愛二影視社,基隆市仁愛區愛二路68號,200000,2015-09-16,2015-09-16,核准設立 - 獨資 (核准文號: 1040002006),,統一編號: ,41358002,,,基隆市政府,王國忠,登記種類: ,商業登記,營業人名稱: ,基隆愛二影視社,使用統一發票: ,,,,
60383831,基隆農產行,基隆市仁愛區仁德里愛一路２２號,3000,1989-12-19,2008-09-26,核准設立 - 獨資,,登記種類: ,商業登記,,,基隆市政府,連志薰,營業人名稱: ,,,,,,,,
69759458,梓程有限公司基隆分公司,基隆市仁愛區仁德里愛二路41號2樓,0,2018-02-09,,撤銷,曾慶松,營業人名稱: ,梓程有限公司基隆分公司,,公司登記,,,,,,,,,,,
00892184,新東陽股份有限公司基隆分公司,基隆市仁愛區愛三路92號1、2樓,0,,2018-07-17,核准設立,梁誌賢,登記種類: ,公司登記,,,,,,,,,,,,,
24470733,頂呱呱國際股份有限公司基隆分公司,基隆市仁愛區愛二路52號,0,2009-10-14,,核准設立,史洪法,營業人名稱: ,頂呱呱國際股份有限公司基隆分公司,,公司登記,,,,,,,,,,,
24559194,台灣三花精品股份有限公司基隆分公司,基隆市仁愛區愛三路66號（1樓）,0,2014-06-18,2016-06-17,核准設立,施貞菲,登記種類: ,公司登記,,,,,,,,,,,,,
24741948,台灣東方海外物流股份有限公司基隆分公司,基隆市仁愛區愛一路35號10樓之2,0,2014-09-01,2017-08-22,核准設立,范姜文,登記種類: ,公司登記,,,,,,,,,,,,,
