Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站)
0,70707675,盛貿開發工程有限公司,基隆市中正區正濱路14號1樓,5000000,2000-02-17,2012-12-17,核准設立,,配管工程業,1.162,1,25.152154,121.770241,"(25.152154, 121.770241)",11,基隆通訊處,False
1,18298355,日祥科技工程行,基隆市中正區中船路54號1樓,4100000,2001-02-02,2014-10-01,核准設立 - 獨資 (核准文號: 1030002163),,配管工程業,0.863,2,25.137204,121.75058700000001,"(25.137204, 121.75058700000001)",11,基隆通訊處,False
2,14265733,達強工程行,基隆市信義區教忠街40巷3號1樓,200000,2002-01-25,2015-10-29,核准設立 - 獨資 (核准文號: 1040002388),,配管工程業,-0.433,3,25.134180999999998,121.77735700000001,"(25.134180999999998, 121.77735700000001)",11,基隆通訊處,False
3,80872800,承億工程行,基隆市中正區新豐里新豐街329巷42號,200000,2003-05-19,2018-06-11,核准設立 - 獨資 (核准文號: 1070001199),,配管工程業,-0.433,4,25.134223000000002,121.785421,"(25.134223000000002, 121.785421)",11,基隆通訊處,False
4,80464760,基嘉水電工程有限公司,基隆市仁愛區和明里仁一路二九三巷三之十六號四樓,6000000,2003-08-18,,核准設立,廖雅玲,配管工程業,1.494,5,25.128526,121.74649,"(25.128526, 121.74649)",11,基隆通訊處,False
5,24223023,淞宏工程有限公司,基隆市信義區孝忠里深美街９５號１樓,1000000,2008-08-22,2016-05-20,核准設立,,配管工程業,-0.16699999999999998,6,25.135668,121.779944,"(25.135668, 121.779944)",11,基隆通訊處,False
6,10394290,權威工程行,基隆市信義區東信路310巷37號,100000,2008-12-31,2019-11-13,核准設立 - 獨資 (核准文號: 1080002439),,配管工程業,-0.466,7,25.12941,121.760617,"(25.12941, 121.760617)",11,基隆通訊處,True
7,24359506,啟皓工程有限公司,基隆市仁愛區愛三路49巷28號2樓,10000000,2009-02-24,2016-04-29,核准設立,,配管工程業,2.823,8,25.128238,121.74194299999999,"(25.128238, 121.74194299999999)",11,基隆通訊處,False
8,25178545,隆圻工程有限公司,基隆市信義區培德路201號1樓,1000000,2010-03-11,2012-07-04,核准設立,,配管工程業,-0.16699999999999998,9,25.129131,121.773326,"(25.129131, 121.773326)",11,基隆通訊處,False
9,25198520,宏全機械工程有限公司,基隆市信義區中興路12號,2000000,2010-04-19,2019-12-13,核准設立,,配管工程業,0.165,10,25.128749,121.75448300000001,"(25.128749, 121.75448300000001)",11,基隆通訊處,False
